LIST OF ALL INDIVIDUALS:
           ID |                         NAME | GENDER |   BIRTHDAY | ALIVE |      DEATH |        CHILD | SPOUSE
       US09_2 |                 Martha Wayne |      F | 1967-08-03 | False | 1999-05-01 |          N/A | {'US09_F1'}
       US05_5 |              Graveyard Smash |      M | 1967-08-03 | False | 1989-05-01 |          N/A |
       US05_1 |              Graveyard Groom |      M | 1965-06-01 | False | 1989-05-01 |          N/A | {'US05_F1'}
       US03_3 |                  Short Lived |      F | 1989-05-01 | False | 1989-05-01 |          N/A |
       US09_4 |            Creampie Then Die |      M | 1965-06-01 | False | 1999-05-01 |          N/A | {'US09_F2'}
       US05_4 |                   Ghost Girl |      F | 1967-08-03 | False | 1989-05-01 |          N/A | {'US05_F2'}
       US06_1 |                     Death Do |      M | 1965-06-01 | False | 1999-05-01 |          N/A | {'US06_F1'}
       US06_4 |                    Dead Wife |      F | 1967-08-03 | False | 1999-05-01 |          N/A | {'US06_F2'}
       US09_1 |                 Thomas Wayne |      M | 1965-06-01 | False | 1999-05-01 |          N/A | {'US09_F1'}
       US03_2 |                  Valid Birth |      M | 1989-05-01 | False | 1989-05-02 |          N/A |
       US09_8 |                 Zombie Birth |      F | 1967-08-03 | False | 1999-05-01 |          N/A | {'US09_F3'}

LIST OF ALL KNOWN ERRORS:
ERROR: INDIVIDUAL: US22: 21: I-22-01: ID already exists. May effect later results
ERROR: FAMILY:     US22: 36: F-22-01: ID already exists. May effect later results
ERROR: INDIVIDUAL: US03: 221 and 223: Miss Carriage's death date is before their birth date
ERROR: INDIVIDUAL: US03: 248 and 250: Abe Bortion's death date is before their birth date
ERROR: FAMILY:     US02: 273: Marry date is before someone's birthday
ERROR: FAMILY:     US02: 315: Marry date is before someone's birthday
ERROR: FAMILY:     US05: 340: Marry date is after someone died
ERROR: FAMILY:     US05: 363: Marry date is after someone died
ERROR: FAMILY:     US05: 386: Marry date is after someone died
ERROR: FAMILY:     US06: 413: Divorce date is after someone died
ERROR: FAMILY:     US06: 438: Divorce date is after someone died
ERROR: FAMILY:     US04: 461 and 463: Divorce date is before marriage date
ERROR: INDIVIDUAL: US07: 499: Belated Birthday is married before 14 years of age, which is illegal in the US.
ERROR: FAMILY:     US22: 526: US09_F1: ID already exists. May effect later results
ERROR: INDIVIDUAL: US07: 531: Daddy Issues is married before 14 years of age, which is illegal in the US.
ERROR: INDIVIDUAL: US07: 572: I Born is married before 14 years of age, which is illegal in the US.
ERROR: INDIVIDUAL: US10: 581: IHaveSurpassed OneFittyYears is listed as being older than 150 years old, which today is highly improbable.
ERROR: INDIVIDUAL: US07: 592: IMarried AtFourteen is married before 14 years of age, which is illegal in the US.
ERROR: FAMILY:     US05: 602: Marry date is after someone died
ERROR: INDIVIDUAL: US42: 764: February can't have the day number specified according to the Gregorian calendar.
ERROR: INDIVIDUAL: US42: 771: February can't have the day number specified according to the Gregorian calendar.
ERROR: INDIVIDUAL: US42: 776: There is an illegal day according to the Gregorian calendar.
ERROR: INDIVIDUAL: US12: 660: The child is born when the mother is older than 60 years old.
ERROR: FAMILY:     US18: 773: Robert House is married to his sister.
ERROR: FAMILY:     US19: 754: Viktor Zachaev is married to his cousin.
ERROR: FAMILY:     US21: 751: MATERNAL: Wife is a male
ERROR: FAMILY:     US21: 37: F-22-01: Husband is a female
ERROR: FAMILY:     US21: 38: F-22-01: Wife is a male
ERROR: FAMILY:     US16: 728: Child's last name does not match male parent
ERROR: FAMILY:     US16: 41: Child's last name does not match male parent
ERROR: FAMILY:     US16: 718: Child's last name does not match male parent
ERROR: FAMILY:     US16: 519: Child's last name does not match male parent
ERROR: FAMILY:     US16: 551: Child's last name does not match male parent
ERROR: FAMILY:     US16: 559: Child's last name does not match male parent
ERROR: FAMILY:     US16: 708: Child's last name does not match male parent
